DateTime,Taxa de câmbio nominal
6/6/2025,"55,941"
5/6/2025,"55,963"
4/6/2025,"56,326"
3/6/2025,"56,688"
2/6/2025,"56,931"
30/05/2025,"57,081"
29/05/2025,"56,553"
28/05/2025,"56,930"
27/05/2025,"56,533"
26/05/2025,"56,613"
23/05/2025,"56,926"
22/05/2025,"56,384"
21/05/2025,"56,565"
20/05/2025,"56,614"
19/05/2025,"56,585"
16/05/2025,"56,919"
15/05/2025,"56,322"
14/05/2025,"56,094"
13/05/2025,"56,256"
12/5/2025,"56,816"
9/5/2025,"56,505"
8/5/2025,"56,854"
7/5/2025,"57,368"
6/5/2025,"57,204"
5/5/2025,"56,514"
2/5/2025,"56,388"
30/04/2025,"56,602"
29/04/2025,"56,461"
28/04/2025,"56,675"
25/04/2025,"56,840"
24/04/2025,"56,732"
23/04/2025,"56,874"
22/04/2025,"57,490"
17/04/2025,"58,553"
16/04/2025,"58,802"
15/04/2025,"58,701"
14/04/2025,"58,419"
11/4/2025,"58,731"
10/4/2025,"59,109"
9/4/2025,"60,599"
8/4/2025,"59,362"
7/4/2025,"58,871"
4/4/2025,"57,771"
3/4/2025,"56,062"
2/4/2025,"56,918"
1/4/2025,"57,045"
31/03/2025,"57,416"
28/03/2025,"57,654"
27/03/2025,"57,468"
26/03/2025,"57,292"
25/03/2025,"56,986"
24/03/2025,"57,397"
21/03/2025,"57,235"
20/03/2025,"56,622"
19/03/2025,"56,651"
18/03/2025,"56,846"
17/03/2025,"57,076"
14/03/2025,"57,413"
13/03/2025,"58,125"
12/3/2025,"58,262"
11/3/2025,"58,341"
10/3/2025,"57,924"
7/3/2025,"57,682"
6/3/2025,"57,483"
5/3/2025,"57,908"
28/02/2025,"58,482"
27/02/2025,"58,222"
26/02/2025,"57,751"
25/02/2025,"57,773"
24/02/2025,"57,252"
21/02/2025,"57,021"
20/02/2025,"57,013"
19/02/2025,"57,081"
18/02/2025,"56,973"
17/02/2025,"57,099"
14/02/2025,"57,277"
13/02/2025,"57,782"
12/2/2025,"57,705"
11/2/2025,"57,782"
10/2/2025,"57,802"
7/2/2025,"57,551"
6/2/2025,"57,850"
5/2/2025,"57,991"
4/2/2025,"57,921"
3/2/2025,"58,681"
31/01/2025,"58,295"
30/01/2025,"59,000"
29/01/2025,"58,590"
28/01/2025,"58,924"
27/01/2025,"59,266"
24/01/2025,"58,919"
23/01/2025,"59,393"
22/01/2025,"59,668"
21/01/2025,"60,434"
20/01/2025,"60,492"
17/01/2025,"60,603"
16/01/2025,"60,316"
15/01/2025,"60,371"
14/01/2025,"60,665"
13/01/2025,"61,073"
10/1/2025,"60,959"
9/1/2025,"60,890"
8/1/2025,"61,315"
7/1/2025,"60,735"
6/1/2025,"61,113"
3/1/2025,"61,557"
2/1/2025,"62,080"
31/12/2024,"61,917"
30/12/2024,"61,917"
27/12/2024,"61,985"
26/12/2024,"61,650"
24/12/2024,"61,527"
23/12/2024,"61,606"
20/12/2024,"60,774"
19/12/2024,"61,835"
18/12/2024,"61,618"
17/12/2024,"61,679"
16/12/2024,"60,504"
13/12/2024,"60,394"
12/12/2024,"59,402"
11/12/2024,"60,314"
10/12/2024,"60,523"
9/12/2024,"60,564"
6/12/2024,"60,287"
5/12/2024,"59,843"
4/12/2024,"60,575"
3/12/2024,"60,701"
2/12/2024,"60,628"
29/11/2024,"60,529"
28/11/2024,"59,865"
27/11/2024,"58,285"
26/11/2024,"57,984"
25/11/2024,"57,996"
22/11/2024,"58,118"
21/11/2024,"58,167"
19/11/2024,"57,737"
18/11/2024,"57,597"
14/11/2024,"57,879"
13/11/2024,"57,707"
12/11/2024,"57,688"
11/11/2024,"57,974"
8/11/2024,"57,642"
7/11/2024,"56,618"
6/11/2024,"57,642"
5/11/2024,"57,840"
4/11/2024,"57,892"
1/11/2024,"58,067"
31/10/2024,"57,773"
30/10/2024,"57,795"
29/10/2024,"57,134"
28/10/2024,"56,982"
25/10/2024,"56,963"
24/10/2024,"57,081"
23/10/2024,"57,143"
22/10/2024,"56,952"
21/10/2024,"57,062"
18/10/2024,"56,666"
17/10/2024,"56,752"
16/10/2024,"56,743"
15/10/2024,"56,372"
14/10/2024,"56,039"
11/10/2024,"56,257"
10/10/2024,"55,813"
9/10/2024,"55,731"
8/10/2024,"55,191"
7/10/2024,"54,620"
4/10/2024,"54,680"
3/10/2024,"54,844"
2/10/2024,"54,299"
1/10/2024,"54,515"
30/09/2024,"54,475"
27/09/2024,"54,425"
