Data;1273 - Produção - Soja - t
1981;15.007.367
1982;12.836.047
1983;14.582.347
1984;15.540.792
1985;18.278.585
1986;13.330.225
1987;16.968.827
1988;18.016.170
1989;24.071.360
1990;19.897.804
1991;14.937.806
1992;19.214.705
1993;22.590.978
1994;24.931.832
1995;25.682.637
1996;23.166.874
1997;26.392.636
1998;31.307.440
1999;30.987.476
2000;32.820.826
2001;37.907.259
2002;42.107.618
2003;51.919.440
2004;49.549.941
2005;51.182.074
2006;52.464.640
2007;57.857.172
2008;59.833.105
2009;57.345.382
2010;68.756.343
2011;74.815.447
2012;65.848.857
2013;81.724.477
2014;86.760.520
2015;97.464.936
Fonte;IBGE
