"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2025","1,633.00","1,633.00","1,633.00","1,633.00","","0.43%"
"06/05/2025","1,626.00","1,626.00","1,626.00","1,626.00","","9.20%"
"06/04/2025","1,489.00","1,489.00","1,489.00","1,489.00","","4.13%"
"06/03/2025","1,430.00","1,430.00","1,430.00","1,430.00","","0.56%"
"06/02/2025","1,422.00","1,422.00","1,422.00","1,422.00","","0.28%"
"05/30/2025","1,418.00","1,418.00","1,418.00","1,418.00","","4.80%"
"05/29/2025","1,353.00","1,353.00","1,353.00","1,353.00","","3.84%"
"05/28/2025","1,303.00","1,303.00","1,303.00","1,303.00","","0.54%"
"05/27/2025","1,296.00","1,296.00","1,296.00","1,296.00","","-3.28%"
"05/23/2025","1,340.00","1,340.00","1,340.00","1,340.00","","-0.07%"
"05/22/2025","1,341.00","1,341.00","1,341.00","1,341.00","","0.30%"
"05/21/2025","1,337.00","1,337.00","1,337.00","1,337.00","","-0.22%"
"05/20/2025","1,340.00","1,340.00","1,340.00","1,340.00","","-0.52%"
"05/19/2025","1,347.00","1,347.00","1,347.00","1,347.00","","-2.95%"
"05/16/2025","1,388.00","1,388.00","1,388.00","1,388.00","","6.36%"
"05/15/2025","1,305.00","1,305.00","1,305.00","1,305.00","","3.00%"
"05/14/2025","1,267.00","1,267.00","1,267.00","1,267.00","","-1.02%"
"05/13/2025","1,280.00","1,280.00","1,280.00","1,280.00","","-1.84%"
"05/12/2025","1,304.00","1,304.00","1,304.00","1,304.00","","0.38%"
"05/09/2025","1,299.00","1,299.00","1,299.00","1,299.00","","-1.29%"
"05/08/2025","1,316.00","1,316.00","1,316.00","1,316.00","","-4.22%"
"05/07/2025","1,374.00","1,374.00","1,374.00","1,374.00","","-2.28%"
"05/06/2025","1,406.00","1,406.00","1,406.00","1,406.00","","-1.06%"
"05/02/2025","1,421.00","1,421.00","1,421.00","1,421.00","","0.71%"
"05/01/2025","1,411.00","1,411.00","1,411.00","1,411.00","","1.80%"
"04/30/2025","1,386.00","1,386.00","1,386.00","1,386.00","","-0.86%"
"04/29/2025","1,398.00","1,398.00","1,398.00","1,398.00","","-0.36%"
"04/28/2025","1,403.00","1,403.00","1,403.00","1,403.00","","2.18%"
"04/25/2025","1,373.00","1,373.00","1,373.00","1,373.00","","1.48%"
"04/24/2025","1,353.00","1,353.00","1,353.00","1,353.00","","4.08%"
"04/23/2025","1,300.00","1,300.00","1,300.00","1,300.00","","3.09%"
