"data";"valor"
"01/01/1963";"0,00"
"01/01/1964";"0,01"
"01/01/1965";"0,02"
"01/01/1966";"0,02"
"01/01/1967";"0,03"
"01/01/1968";"0,04"
"01/01/1969";"0,06"
"01/01/1970";"0,07"
"01/01/1971";"0,09"
"01/01/1972";"0,13"
"01/01/1973";"0,19"
"01/01/1974";"0,27"
"01/01/1975";"0,38"
"01/01/1976";"0,59"
"01/01/1977";"0,91"
"01/01/1978";"1,32"
"01/01/1979";"2,17"
"01/01/1980";"4,55"
"01/01/1981";"8,73"
"01/01/1982";"17,70"
"01/01/1983";"39,78"
"01/01/1984";"126,50"
"01/01/1985";"475,53"
"01/01/1986";"1273,68"
"01/01/1987";"4037,81"
"01/01/1988";"29375,63"
"01/01/1989";"425595,31"
"01/01/1990";"11548794,55"
"01/01/1991";"60285999,27"
"01/01/1992";"640958767,64"
"01/01/1993";"14097114181,82"
"01/01/1994";"349204679181,00"
"01/01/1995";"705991552860,92"
"01/01/1996";"854763607812,40"
"01/01/1997";"952089196088,81"
"01/01/1998";"1002351019213,48"
"01/01/1999";"1087710456053,99"
"01/01/2000";"1199092070940,21"
"01/01/2001";"1315755467830,93"
"01/01/2002";"1488787255158,37"
"01/01/2003";"1717950396424,49"
"01/01/2004";"1957751212962,56"
"01/01/2005";"2170584503475,77"
"01/01/2006";"2409449921542,59"
"01/01/2007";"2720262937561,29"
"01/01/2008";"3109803088949,22"
"01/01/2009";"3333039355180,97"
"01/01/2010";"3885846999836,84"
"01/01/2011";"4376381999853,76"
"01/01/2012";"4814759999634,49"
"01/01/2013";"5331618999627,08"
"01/01/2014";"5778953000008,59"
"01/01/2015";"5995786999726,30"
"01/01/2016";"6269328000659,18"
"01/01/2017";"6585479000139,78"
"01/01/2018";"7004140999893,37"
"01/01/2019";"7389130999453,28"
"01/01/2020";"7609597000575,82"
"01/01/2021";"9012141999284,48"
"01/01/2022";"10079676679176,00"
"01/01/2023";"10943344667905,00"
"01/01/2024";"11744710041818,70"
