Data;Selic - % a.d.,
02/01/2018;0,26481
03/01/2018;0,26481
04/01/2018;0,26481
05/01/2018;0,26481
08/01/2018;0,26481
09/01/2018;0,26481
10/01/2018;0,26481
11/01/2018;0,26481
12/01/2018;0,26481
15/01/2018;0,26481
16/01/2018;0,26481
17/01/2018;0,26481
18/01/2018;0,26481
19/01/2018;0,26481
22/01/2018;0,26481
23/01/2018;0,26481
24/01/2018;0,26481
25/01/2018;0,26481
26/01/2018;0,26481
29/01/2018;0,26481
30/01/2018;0,26481
31/01/2018;0,26481
01/02/2018;0,26481
02/02/2018;0,26481
05/02/2018;0,26481
06/02/2018;0,26481
07/02/2018;0,26481
08/02/2018;0,25552
09/02/2018;0,25552
14/02/2018;0,25552
15/02/2018;0,25552
16/02/2018;0,25552
19/02/2018;0,25552
20/02/2018;0,25552
21/02/2018;0,25552
22/02/2018;0,25552
23/02/2018;0,25552
26/02/2018;0,25552
27/02/2018;0,25552
28/02/2018;0,25552
01/03/2018;0,25552
02/03/2018;0,25552
05/03/2018;0,25552
06/03/2018;0,25552
07/03/2018;0,25552
08/03/2018;0,25552
09/03/2018;0,25552
12/03/2018;0,25552
13/03/2018;0,25552
14/03/2018;0,25552
15/03/2018;0,25552
16/03/2018;0,25552
19/03/2018;0,25552
20/03/2018;0,25552
21/03/2018;0,25552
22/03/2018;0,24620
23/03/2018;0,24620
26/03/2018;0,24620
27/03/2018;0,24620
28/03/2018;0,24620
29/03/2018;0,24620
02/04/2018;0,24620
03/04/2018;0,24620
04/04/2018;0,24620
05/04/2018;0,24620
06/04/2018;0,24620
09/04/2018;0,24620
10/04/2018;0,24620
11/04/2018;0,24620
12/04/2018;0,24620
13/04/2018;0,24620
16/04/2018;0,24620
17/04/2018;0,24620
18/04/2018;0,24620
19/04/2018;0,24620
20/04/2018;0,24620
23/04/2018;0,24620
24/04/2018;0,24620
25/04/2018;0,24620
26/04/2018;0,24620
27/04/2018;0,24620
30/04/2018;0,24620
02/05/2018;0,24620
03/05/2018;0,24620
04/05/2018;0,24620
07/05/2018;0,24620
08/05/2018;0,24620
09/05/2018;0,24620
10/05/2018;0,24620
11/05/2018;0,24620
14/05/2018;0,24620
15/05/2018;0,24620
16/05/2018;0,24620
17/05/2018;0,24620
18/05/2018;0,24620
21/05/2018;0,24620
22/05/2018;0,24620
23/05/2018;0,24620
24/05/2018;0,24620
25/05/2018;0,24620
28/05/2018;0,24620
29/05/2018;0,24620
30/05/2018;0,24620
01/06/2018;0,24620
04/06/2018;0,24620
05/06/2018;0,24620
06/06/2018;0,24620
07/06/2018;0,24620
08/06/2018;0,24620
11/06/2018;0,24620
12/06/2018;0,24620
13/06/2018;0,24620
14/06/2018;0,24620
15/06/2018;0,24620
18/06/2018;0,24620
19/06/2018;0,24620
20/06/2018;0,24620
21/06/2018;0,24620
22/06/2018;0,24620
25/06/2018;0,24620
26/06/2018;0,24620
27/06/2018;0,24620
28/06/2018;0,24620
29/06/2018;0,24620
02/07/2018;0,24620
03/07/2018;0,24620
04/07/2018;0,24620
05/07/2018;0,24620
06/07/2018;0,24620
09/07/2018;0,24620
10/07/2018;0,24620
11/07/2018;0,24620
12/07/2018;0,24620
13/07/2018;0,24620
16/07/2018;0,24620
17/07/2018;0,24620
18/07/2018;0,24620
19/07/2018;0,24620
20/07/2018;0,24620
23/07/2018;0,24620
24/07/2018;0,24620
25/07/2018;0,24620
26/07/2018;0,24620
27/07/2018;0,24620
30/07/2018;0,24620
31/07/2018;0,24620
01/08/2018;0,24620
02/08/2018;0,24620
03/08/2018;0,24620
06/08/2018;0,24620
07/08/2018;0,24620
08/08/2018;0,24620
09/08/2018;0,24620
10/08/2018;0,24620
13/08/2018;0,24620
14/08/2018;0,24620
15/08/2018;0,24620
16/08/2018;0,24620
17/08/2018;0,24620
20/08/2018;0,24620
21/08/2018;0,24620
22/08/2018;0,24620
23/08/2018;0,24620
24/08/2018;0,24620
27/08/2018;0,24620
28/08/2018;0,24620
29/08/2018;0,24620
30/08/2018;0,24620
31/08/2018;0,24620
03/09/2018;0,24620
04/09/2018;0,24620
05/09/2018;0,24620
06/09/2018;0,24620
10/09/2018;0,24620
11/09/2018;0,24620
12/09/2018;0,24620
13/09/2018;0,24620
14/09/2018;0,24620
17/09/2018;0,24620
18/09/2018;0,24620
19/09/2018;0,24620
20/09/2018;0,24620
21/09/2018;0,24620
24/09/2018;0,24620
25/09/2018;0,24620
26/09/2018;0,24620
27/09/2018;0,24620
28/09/2018;0,24620
01/10/2018;0,24620
02/10/2018;0,24620
03/10/2018;0,24620
04/10/2018;0,24620
05/10/2018;0,24620
